المادة الفعالة (Active Substance),رقم CAS,الحالة,اللون الإرشادي,التفصيل والقرار
Bupirimate,41483-43-6,مسموح ومسجل (مؤقتاً),Green,قرار رقم 500 لسنة 2026م. يسمح بتداوله واستيراده بموجب قرار وزارة الزراعة رقم 500 لسنة 2026م.
Buprofezin,69327-76-0,مسموح ومسجل (مؤقتاً),Green,قرار رقم 500 لسنة 2026م. يسمح بتداوله واستيراده بموجب قرار وزارة الزراعة رقم 500 لسنة 2026م.
COS-OGA,No CAS allocated,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
Calcium carbide,75-20-7,يتطلب تقييم مخاطر محلياً,Orange,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق وتقييم مخاطر محلياً (قرار 500 لسنة 2026م).
Calcium carbonate,471-34-1,يتطلب تقييم مخاطر محلياً,Orange,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق وتقييم مخاطر محلياً (قرار 500 لسنة 2026م).
Calcium hydroxide,1305-62-0,يتطلب تقييم مخاطر محلياً,Orange,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق وتقييم مخاطر محلياً (قرار 500 لسنة 2026م).
Candida oleophila strain O,No CAS allocated,يتطلب تقييم مخاطر محلياً,Orange,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق وتقييم مخاطر محلياً (قرار 500 لسنة 2026م).
Capric acid (CAS 334-48-5),334485,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
Caprylic acid (CAS 124-07-2),124-07-2,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
Captan,133-06-02,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
